program_id,program_name,brand,program_type,vehicle_segment,start_date,end_date,incentive_amount,eligible_dealer_count,participating_dealer_count,baseline_units,units_sold_during_program
1,2022 Q3 Chrysler Minivan Loyalty,Chrysler,loyalty,Minivan,2022-07-17,2022-12-30,1100.0,30,24,5,30
2,2023 Q2 Jeep SUV Conquest,Jeep,conquest,SUV,2023-06-07,2023-08-28,600.0,29,23,5,14
3,2023 Q4 Chrysler Minivan Apr Subvention,Chrysler,apr_subvention,Minivan,2023-10-13,2023-12-03,1500.0,47,31,5,9
4,2024 Q1 Dodge SUV Dealer Cash,Dodge,dealer_cash,SUV,2024-02-15,2024-04-09,900.0,28,16,5,9
5,2023 Q4 Chrysler Sedan Loyalty,Chrysler,loyalty,Sedan,2023-12-19,2024-03-23,1500.0,35,25,5,16
6,2022 Q2 Dodge SUV Customer Cash,Dodge,customer_cash,SUV,2022-05-24,2022-06-18,3100.0,42,38,5,7
7,2024 Q3 Jeep SUV Apr Subvention,Jeep,apr_subvention,SUV,2024-07-25,2024-10-18,200.0,34,26,6,18
8,2024 Q3 Fiat Crossover Dealer Cash,Fiat,dealer_cash,Crossover,2024-09-11,2024-12-08,2500.0,39,26,5,19
9,2022 Q4 Ram Truck Customer Cash,Ram,customer_cash,Truck,2022-11-16,2022-12-09,2800.0,53,47,9,14
10,2024 Q2 Dodge SUV Apr Subvention,Dodge,apr_subvention,SUV,2024-04-04,2024-05-06,400.0,34,30,5,6
11,2024 Q4 Alfa Romeo Sedan Dealer Cash,Alfa Romeo,dealer_cash,Sedan,2024-11-10,2024-12-22,2700.0,29,22,5,7
12,2022 Q2 Jeep SUV Conquest,Jeep,conquest,SUV,2022-06-13,2022-08-26,1600.0,49,43,5,12
13,2023 Q2 Dodge SUV Dealer Cash,Dodge,dealer_cash,SUV,2023-04-20,2023-07-09,2600.0,50,28,5,17
14,2023 Q3 Jeep Crossover Loyalty,Jeep,loyalty,Crossover,2023-09-14,2024-02-02,700.0,60,54,10,45
15,2022 Q3 Ram Truck Customer Cash,Ram,customer_cash,Truck,2022-08-03,2022-09-09,1500.0,53,41,5,7
16,2022 Q3 Ram Truck Loyalty,Ram,loyalty,Truck,2022-07-01,2022-12-20,600.0,63,49,14,86
17,2023 Q1 Dodge SUV Lease Subvention,Dodge,lease_subvention,SUV,2023-03-09,2023-04-20,4300.0,28,19,5,9
18,2023 Q3 Fiat Crossover Apr Subvention,Fiat,apr_subvention,Crossover,2023-09-04,2023-10-17,600.0,33,22,5,7
19,2024 Q1 Fiat Crossover Dealer Cash,Fiat,dealer_cash,Crossover,2024-01-27,2024-03-18,2700.0,37,26,5,9
20,2023 Q2 Fiat Crossover Dealer Cash,Fiat,dealer_cash,Crossover,2023-04-24,2023-06-30,1000.0,25,15,5,14
21,2023 Q4 Ram Truck Dealer Cash,Ram,dealer_cash,Truck,2023-12-03,2024-02-16,2200.0,40,36,11,35
22,2023 Q2 Jeep Crossover Dealer Cash,Jeep,dealer_cash,Crossover,2023-06-01,2023-07-11,1500.0,36,30,5,9
23,2022 Q4 Fiat Crossover Conquest,Fiat,conquest,Crossover,2022-11-10,2023-01-29,2600.0,37,27,5,13
24,2022 Q1 Ram Commercial Customer Cash,Ram,customer_cash,Commercial,2022-01-15,2022-03-09,4800.0,42,30,5,11
25,2024 Q1 Dodge Sports Apr Subvention,Dodge,apr_subvention,Sports,2024-03-07,2024-05-23,300.0,63,46,5,13
26,2022 Q4 Dodge Sports Loyalty,Dodge,loyalty,Sports,2022-11-22,2023-04-11,1700.0,28,22,5,28
27,2022 Q4 Chrysler Minivan Apr Subvention,Chrysler,apr_subvention,Minivan,2022-10-22,2022-12-11,1300.0,63,56,5,11
28,2024 Q3 Dodge Sports Apr Subvention,Dodge,apr_subvention,Sports,2024-08-30,2024-09-30,500.0,67,55,5,5
29,2023 Q4 Fiat Crossover Dealer Cash,Fiat,dealer_cash,Crossover,2023-11-16,2024-02-03,1900.0,59,34,5,15
30,2024 Q2 Dodge SUV Conquest,Dodge,conquest,SUV,2024-06-10,2024-08-06,800.0,33,27,5,9
31,2023 Q1 Alfa Romeo Sports Apr Subvention,Alfa Romeo,apr_subvention,Sports,2023-03-27,2023-05-30,1000.0,42,37,5,11
32,2023 Q3 Chrysler Minivan Customer Cash,Chrysler,customer_cash,Minivan,2023-09-05,2023-09-30,800.0,59,36,5,6
33,2022 Q2 Alfa Romeo Sedan Dealer Cash,Alfa Romeo,dealer_cash,Sedan,2022-06-13,2022-09-10,2100.0,67,47,5,21
34,2022 Q3 Jeep SUV Loyalty,Jeep,loyalty,SUV,2022-08-01,2022-10-29,600.0,33,28,6,21
35,2023 Q2 Alfa Romeo Sports Dealer Cash,Alfa Romeo,dealer_cash,Sports,2023-05-14,2023-07-18,600.0,49,34,5,15
36,2022 Q1 Ram Truck Dealer Cash,Ram,dealer_cash,Truck,2022-01-18,2022-03-15,2100.0,57,34,6,15
37,2023 Q4 Dodge Sports Customer Cash,Dodge,customer_cash,Sports,2023-10-15,2023-12-13,1200.0,42,38,5,16
38,2023 Q2 Ram Truck Loyalty,Ram,loyalty,Truck,2023-05-02,2023-10-24,800.0,59,49,12,74
39,2024 Q3 Dodge SUV Loyalty,Dodge,loyalty,SUV,2024-08-13,2024-10-23,400.0,33,20,5,13
40,2024 Q3 Chrysler Sedan Loyalty,Chrysler,loyalty,Sedan,2024-07-01,2024-09-29,300.0,48,27,5,17
41,2024 Q2 Fiat Crossover Lease Subvention,Fiat,lease_subvention,Crossover,2024-06-13,2024-08-05,1400.0,66,59,5,10
42,2023 Q2 Alfa Romeo Sedan Conquest,Alfa Romeo,conquest,Sedan,2023-06-08,2023-09-20,1600.0,34,26,5,19
43,2022 Q3 Jeep Crossover Conquest,Jeep,conquest,Crossover,2022-07-16,2022-10-04,1100.0,62,37,5,15
44,2023 Q4 Fiat Crossover Lease Subvention,Fiat,lease_subvention,Crossover,2023-12-05,2024-01-29,1300.0,35,31,5,11
45,2022 Q2 Jeep Crossover Dealer Cash,Jeep,dealer_cash,Crossover,2022-06-14,2022-07-22,3000.0,54,30,5,7
46,2022 Q2 Jeep SUV Apr Subvention,Jeep,apr_subvention,SUV,2022-05-04,2022-07-16,500.0,31,26,6,17
47,2022 Q1 Chrysler Sedan Conquest,Chrysler,conquest,Sedan,2022-03-21,2022-07-11,600.0,46,32,5,23
48,2024 Q3 Alfa Romeo Sports Apr Subvention,Alfa Romeo,apr_subvention,Sports,2024-09-01,2024-11-21,1000.0,54,49,5,15
49,2022 Q3 Dodge SUV Apr Subvention,Dodge,apr_subvention,SUV,2022-09-28,2022-12-07,1100.0,41,38,5,12
50,2023 Q1 Dodge SUV Customer Cash,Dodge,customer_cash,SUV,2023-03-14,2023-04-21,1200.0,61,41,5,8
51,2022 Q3 Dodge SUV Lease Subvention,Dodge,lease_subvention,SUV,2022-09-18,2022-10-30,2200.0,67,37,6,11
52,2023 Q1 Fiat Crossover Conquest,Fiat,conquest,Crossover,2023-01-29,2023-05-01,1700.0,33,21,5,15
53,2022 Q4 Ram Truck Customer Cash,Ram,customer_cash,Truck,2022-11-24,2023-01-07,3700.0,26,22,5,9
54,2023 Q3 Fiat Crossover Apr Subvention,Fiat,apr_subvention,Crossover,2023-08-26,2023-10-13,1100.0,60,53,5,10
55,2023 Q4 Alfa Romeo Sports Conquest,Alfa Romeo,conquest,Sports,2023-10-14,2023-12-07,2200.0,59,45,5,9
56,2023 Q1 Ram Truck Customer Cash,Ram,customer_cash,Truck,2023-02-26,2023-03-20,5000.0,35,20,5,7
57,2022 Q1 Alfa Romeo Sedan Dealer Cash,Alfa Romeo,dealer_cash,Sedan,2022-03-11,2022-06-07,2200.0,31,27,5,19
58,2022 Q3 Jeep Crossover Lease Subvention,Jeep,lease_subvention,Crossover,2022-08-31,2022-09-28,4300.0,52,34,5,6
59,2023 Q2 Chrysler Minivan Apr Subvention,Chrysler,apr_subvention,Minivan,2023-05-04,2023-06-10,1600.0,65,57,5,8
60,2023 Q1 Fiat Crossover Customer Cash,Fiat,customer_cash,Crossover,2023-03-10,2023-05-09,4200.0,41,28,5,15
61,2022 Q2 Jeep SUV Lease Subvention,Jeep,lease_subvention,SUV,2022-06-30,2022-08-23,3100.0,66,59,10,23
62,2023 Q3 Chrysler Sedan Dealer Cash,Chrysler,dealer_cash,Sedan,2023-09-17,2023-10-22,3100.0,33,26,5,6
63,2022 Q1 Ram Truck Dealer Cash,Ram,dealer_cash,Truck,2022-02-16,2022-05-13,3000.0,46,40,11,39
64,2023 Q1 Dodge SUV Loyalty,Dodge,loyalty,SUV,2023-02-26,2023-06-08,1300.0,27,24,5,15
65,2022 Q3 Alfa Romeo Sports Conquest,Alfa Romeo,conquest,Sports,2022-09-23,2022-12-29,2200.0,59,44,5,20
66,2022 Q3 Fiat Crossover Lease Subvention,Fiat,lease_subvention,Crossover,2022-08-31,2022-10-22,3000.0,44,40,5,9
67,2022 Q3 Dodge SUV Apr Subvention,Dodge,apr_subvention,SUV,2022-07-23,2022-09-02,400.0,52,30,5,9
68,2022 Q2 Chrysler Sedan Customer Cash,Chrysler,customer_cash,Sedan,2022-05-01,2022-06-08,1800.0,53,37,5,7
69,2022 Q3 Chrysler Minivan Customer Cash,Chrysler,customer_cash,Minivan,2022-07-17,2022-08-20,2600.0,52,35,5,6
70,2023 Q1 Alfa Romeo Sedan Customer Cash,Alfa Romeo,customer_cash,Sedan,2023-02-02,2023-03-25,4000.0,58,48,5,10
71,2022 Q4 Ram Commercial Conquest,Ram,conquest,Commercial,2022-10-27,2023-02-18,1300.0,26,19,5,22
72,2024 Q3 Fiat Crossover Apr Subvention,Fiat,apr_subvention,Crossover,2024-09-29,2024-12-02,800.0,35,20,5,11
73,2022 Q3 Fiat Crossover Conquest,Fiat,conquest,Crossover,2022-07-25,2022-10-21,700.0,36,26,5,18
74,2024 Q1 Jeep Crossover Dealer Cash,Jeep,dealer_cash,Crossover,2024-02-06,2024-04-05,3000.0,31,27,5,11
75,2024 Q1 Ram Commercial Apr Subvention,Ram,apr_subvention,Commercial,2024-02-19,2024-05-16,1800.0,58,45,6,24
76,2023 Q3 Alfa Romeo Sports Loyalty,Alfa Romeo,loyalty,Sports,2023-08-04,2023-10-06,1200.0,56,45,5,12
77,2022 Q2 Fiat Crossover Loyalty,Fiat,loyalty,Crossover,2022-04-21,2022-06-22,500.0,62,48,5,12
78,2023 Q1 Fiat Crossover Conquest,Fiat,conquest,Crossover,2023-02-13,2023-04-09,1000.0,34,23,5,11
79,2023 Q2 Chrysler Sedan Conquest,Chrysler,conquest,Sedan,2023-04-23,2023-07-11,2400.0,62,39,5,13
80,2024 Q1 Jeep Crossover Customer Cash,Jeep,customer_cash,Crossover,2024-03-04,2024-04-01,2700.0,26,23,5,6
81,2024 Q2 Ram Commercial Lease Subvention,Ram,lease_subvention,Commercial,2024-05-12,2024-07-08,1200.0,54,36,5,11
82,2024 Q1 Dodge Sports Apr Subvention,Dodge,apr_subvention,Sports,2024-03-31,2024-06-24,700.0,32,24,5,17
83,2024 Q3 Dodge Sports Loyalty,Dodge,loyalty,Sports,2024-09-17,2024-11-29,800.0,60,41,5,15
84,2023 Q4 Chrysler Minivan Conquest,Chrysler,conquest,Minivan,2023-10-05,2023-12-19,600.0,53,45,5,15
85,2024 Q1 Ram Commercial Conquest,Ram,conquest,Commercial,2024-02-07,2024-04-28,1300.0,43,37,5,13
86,2023 Q3 Jeep Crossover Lease Subvention,Jeep,lease_subvention,Crossover,2023-09-25,2023-11-02,3400.0,45,30,5,6
87,2024 Q2 Jeep Crossover Loyalty,Jeep,loyalty,Crossover,2024-06-06,2024-10-06,400.0,27,16,5,21
88,2024 Q3 Ram Commercial Conquest,Ram,conquest,Commercial,2024-07-10,2024-09-14,1700.0,31,23,5,11
89,2024 Q4 Ram Truck Customer Cash,Ram,customer_cash,Truck,2024-10-19,2024-12-03,4000.0,24,20,5,10
90,2024 Q1 Fiat Crossover Conquest,Fiat,conquest,Crossover,2024-03-10,2024-04-26,1300.0,53,30,5,9
91,2023 Q2 Alfa Romeo Sedan Apr Subvention,Alfa Romeo,apr_subvention,Sedan,2023-05-07,2023-07-02,1500.0,28,17,5,9
92,2023 Q2 Chrysler Minivan Customer Cash,Chrysler,customer_cash,Minivan,2023-06-12,2023-07-06,3000.0,44,37,5,6
93,2024 Q3 Fiat Crossover Conquest,Fiat,conquest,Crossover,2024-08-13,2024-11-21,1800.0,24,16,5,19
94,2023 Q4 Alfa Romeo Sports Lease Subvention,Alfa Romeo,lease_subvention,Sports,2023-10-10,2023-11-13,3100.0,26,19,5,7
95,2022 Q1 Chrysler Sedan Lease Subvention,Chrysler,lease_subvention,Sedan,2022-01-13,2022-03-13,900.0,37,21,5,9
96,2022 Q1 Fiat Crossover Customer Cash,Fiat,customer_cash,Crossover,2022-02-12,2022-04-09,900.0,66,53,5,11
97,2022 Q2 Jeep Crossover Customer Cash,Jeep,customer_cash,Crossover,2022-06-21,2022-07-16,1000.0,50,45,6,7
98,2023 Q1 Ram Truck Loyalty,Ram,loyalty,Truck,2023-01-09,2023-05-31,700.0,36,30,7,31
99,2023 Q4 Jeep Crossover Customer Cash,Jeep,customer_cash,Crossover,2023-11-25,2024-01-10,3600.0,42,38,5,11
100,2022 Q3 Chrysler Sedan Customer Cash,Chrysler,customer_cash,Sedan,2022-09-10,2022-11-05,4100.0,38,25,5,10
101,2023 Q4 Jeep SUV Lease Subvention,Jeep,lease_subvention,SUV,2023-11-15,2024-01-03,3000.0,28,25,5,10
102,2024 Q2 Chrysler Minivan Dealer Cash,Chrysler,dealer_cash,Minivan,2024-06-10,2024-07-25,2600.0,54,45,5,9
103,2023 Q3 Fiat Crossover Lease Subvention,Fiat,lease_subvention,Crossover,2023-09-08,2023-10-23,2200.0,47,33,5,8
104,2024 Q3 Jeep SUV Apr Subvention,Jeep,apr_subvention,SUV,2024-08-23,2024-11-09,300.0,51,42,8,25
105,2024 Q3 Alfa Romeo Sedan Customer Cash,Alfa Romeo,customer_cash,Sedan,2024-08-11,2024-09-26,5000.0,54,49,5,11
106,2023 Q1 Ram Truck Customer Cash,Ram,customer_cash,Truck,2023-01-28,2023-03-19,3700.0,62,52,8,15
107,2023 Q2 Dodge Sports Conquest,Dodge,conquest,Sports,2023-04-03,2023-07-17,800.0,35,28,5,17
108,2024 Q2 Alfa Romeo Sports Customer Cash,Alfa Romeo,customer_cash,Sports,2024-04-23,2024-06-04,2300.0,25,22,5,9
109,2024 Q1 Fiat Crossover Apr Subvention,Fiat,apr_subvention,Crossover,2024-02-13,2024-04-09,700.0,57,37,5,10
110,2024 Q1 Alfa Romeo Sports Loyalty,Alfa Romeo,loyalty,Sports,2024-01-14,2024-03-18,900.0,40,29,5,10
111,2024 Q1 Jeep Crossover Customer Cash,Jeep,customer_cash,Crossover,2024-02-02,2024-03-26,2500.0,29,25,5,11
112,2023 Q1 Alfa Romeo Sedan Loyalty,Alfa Romeo,loyalty,Sedan,2023-03-16,2023-05-24,900.0,64,39,5,11
113,2023 Q1 Ram Truck Loyalty,Ram,loyalty,Truck,2023-02-12,2023-08-10,400.0,52,36,6,37
114,2023 Q2 Chrysler Sedan Loyalty,Chrysler,loyalty,Sedan,2023-04-18,2023-08-18,500.0,34,29,5,24
115,2023 Q2 Dodge SUV Lease Subvention,Dodge,lease_subvention,SUV,2023-05-12,2023-06-13,3500.0,61,42,7,10
116,2022 Q2 Alfa Romeo Sedan Lease Subvention,Alfa Romeo,lease_subvention,Sedan,2022-04-02,2022-05-17,1000.0,30,19,5,8
117,2023 Q1 Jeep SUV Lease Subvention,Jeep,lease_subvention,SUV,2023-01-26,2023-03-07,3000.0,58,50,5,8
118,2023 Q3 Jeep SUV Apr Subvention,Jeep,apr_subvention,SUV,2023-08-19,2023-09-21,1200.0,29,19,5,6
119,2024 Q2 Alfa Romeo Sports Loyalty,Alfa Romeo,loyalty,Sports,2024-05-14,2024-07-24,500.0,27,16,5,11
120,2022 Q4 Jeep SUV Lease Subvention,Jeep,lease_subvention,SUV,2022-12-01,2023-01-21,3600.0,41,28,5,10
