sale_id,vin,dealer_id,sale_date,msrp,discount_amount,sale_price,finance_type,sales_channel,trade_in_flag,days_on_lot
1,2C35SGDFS21775718,DLR3641,2022-02-21,85000.0,2700.39,82299.61,Loan,Retail,1,4
2,ZARU9S2NH77245356,DLR2972,2022-06-28,35000.0,1614.94,33385.06,Cash,Retail,1,17
3,1B3E7AUXZ03737329,DLR3389,2022-02-24,94800.0,7332.98,87467.02,Lease,Retail,1,21
4,ZAR8C7Y1H82521720,DLR4610,2023-07-24,29200.0,1357.05,27842.95,Lease,Retail,0,38
5,1C3LSM6K848470920,DLR7296,2023-11-21,52200.0,4374.04,47825.96,Loan,Retail,1,6
6,ZAR6VB7L857730128,DLR9099,2023-06-26,30000.0,1845.4,28154.6,Loan,Retail,0,84
7,1B3LRXLWV33402274,DLR7474,2022-06-11,29000.0,2422.87,26577.13,Loan,Fleet,0,5
8,2C38XSVWZ86939344,DLR4013,2023-01-29,32400.0,476.75,31923.25,Loan,Retail,1,39
9,1C6JXVEKU51916768,DLR3276,2023-04-22,66200.0,5610.01,60589.99,Loan,Retail,0,103
10,1C6JXVEKU51916768,DLR3979,2024-01-29,66200.0,5169.97,61030.03,Lease,Retail,0,58
11,ZARR9C81D02218049,DLR6653,2022-12-17,60600.0,5460.16,55139.84,Loan,Retail,0,1
12,1C6GELJJH79370660,DLR9783,2023-03-26,61100.0,9223.44,51876.56,Loan,Fleet,0,5
13,3C6V9D41K94384972,DLR4387,2023-10-09,34900.0,3086.82,31813.18,Cash,Retail,0,11
14,1B31AVW0K12525937,DLR4885,2023-10-07,73600.0,5398.77,68201.23,Loan,Retail,0,22
15,1B34K2SHR72380131,DLR6785,2022-10-20,41100.0,2998.82,38101.18,Loan,Retail,0,29
16,1C40PYFS836688833,DLR6935,2024-05-27,42000.0,2624.56,39375.44,Loan,Retail,0,23
17,1C4EM3WAJ14104354,DLR7081,2024-10-07,34000.0,2347.98,31652.02,Cash,Retail,1,112
18,2C3P6TXK246789341,DLR3979,2024-05-14,66100.0,4248.25,61851.75,Loan,Retail,0,1
19,ZFAYRZM5261949011,DLR7144,2022-01-24,26000.0,528.76,25471.24,Lease,Retail,0,8
20,ZFA0XEPZ501753931,DLR7296,2022-08-17,66100.0,4795.01,61304.99,Cash,Retail,0,52
21,1B3ASLX3M18801711,DLR6935,2024-10-22,44700.0,5930.49,38769.51,Loan,Fleet,0,1
22,1B3SC60T686617199,DLR3262,2024-11-05,85000.0,6700.55,78299.45,Loan,Retail,0,6
23,ZFARD56AE63892733,DLR2972,2024-12-22,62300.0,8929.63,53370.37,Loan,Fleet,0,1
24,1C6TXFXAK71747066,DLR3641,2024-01-14,46700.0,6263.46,40436.54,Loan,Fleet,0,11
25,1C4H5E08P02819855,DLR4885,2024-09-22,93800.0,6413.84,87386.16,Lease,Fleet,0,2
26,1C3SZZE9S29087337,DLR9399,2022-09-20,55300.0,6395.23,48904.77,Loan,Rental,0,16
27,ZFAF0T7UY00896748,DLR3389,2024-05-16,48000.0,5443.81,42556.19,Loan,Rental,0,5
28,1C4GM1X2G59461962,DLR3650,2024-03-28,65800.0,3846.98,61953.02,Loan,Retail,0,11
29,ZAR8C7Y1H82521720,DLR3095,2023-11-24,29200.0,1732.95,27467.05,Loan,Retail,0,22
30,1C6TXFXAK71747066,DLR3717,2022-05-26,46700.0,933.11,45766.89,Cash,Retail,1,23
31,2C3KGUHH514044532,DLR4633,2022-05-26,68500.0,1474.36,67025.64,Loan,Retail,0,8
32,1C6DCR1NE09564894,DLR4013,2024-08-26,85000.0,7115.37,77884.63,Loan,Retail,1,3
33,1B3398CSK83502536,DLR6565,2023-12-27,45500.0,2840.79,42659.21,Loan,Retail,0,1
34,2C3Z41ZUY43312942,DLR2938,2022-05-05,40900.0,2193.25,38706.75,Lease,Retail,1,60
35,ZFAYRZM5261949011,DLR1639,2023-01-11,26000.0,854.74,25145.26,Loan,Retail,0,49
36,2C3X84Z1M02637704,DLR1448,2022-01-31,63300.0,6573.08,56726.92,Loan,Rental,0,5
37,ZFARR4YWK66413376,DLR6614,2024-04-12,85000.0,2378.18,82621.82,Loan,Retail,1,5
38,ZFAV3F2SZ68074201,DLR7474,2022-01-05,26000.0,922.63,25077.37,Lease,Retail,0,22
39,ZFA7D9F8J14736535,DLR5098,2023-08-31,34300.0,1034.07,33265.93,Cash,Retail,0,53
40,1C4AKGEJL07137588,DLR3848,2023-10-05,93700.0,8656.27,85043.73,Loan,Retail,0,55
41,1C419S0PN24118706,DLR3101,2022-11-19,34300.0,1765.01,32534.99,Loan,Retail,0,155
42,1C6K2K6ER92430052,DLR5121,2022-05-20,35500.0,364.74,35135.26,Cash,Retail,0,180
43,ZARZBNP3Z90728842,DLR1116,2022-03-23,36700.0,1266.17,35433.83,Loan,Retail,0,118
44,1C3N7G9F207927808,DLR6935,2023-02-23,66900.0,2816.97,64083.03,Loan,Retail,1,42
45,1B3LRXLWV33402274,DLR3262,2024-07-25,29000.0,904.27,28095.73,Cash,Retail,0,33
46,3C6U95A0Z52614498,DLR4885,2023-03-13,84300.0,6125.42,78174.58,Loan,Retail,1,54
47,ZFA0XEPZ501753931,DLR5121,2023-05-16,66100.0,2073.86,64026.14,Lease,Retail,0,6
48,1C44R612N45150572,DLR7906,2024-12-19,57700.0,5356.62,52343.38,Lease,Retail,1,2
49,1B3PHLKSY33848773,DLR2856,2022-10-03,55800.0,4249.63,51550.37,Lease,Retail,0,17
50,1B3X791RD68469072,DLR3794,2023-07-12,26000.0,2094.81,23905.19,Loan,Retail,0,9
51,2C3ZKL1CS99022988,DLR6935,2024-11-01,84600.0,7722.21,76877.79,Lease,Retail,0,8
52,ZAR7D5J6112236852,DLR5600,2024-05-17,35200.0,1044.57,34155.43,Loan,Retail,1,49
53,ZAR826GZV47754116,DLR6935,2022-11-27,48100.0,4490.52,43609.48,Loan,Retail,1,16
54,2C3G25NTJ19992884,DLR3935,2022-11-02,40700.0,1892.45,38807.55,Lease,Retail,0,29
55,ZAR826GZV47754116,DLR5644,2023-09-24,48100.0,3126.22,44973.78,Lease,Retail,0,57
56,ZFAYRZM5261949011,DLR1760,2023-05-27,26000.0,1053.97,24946.03,Loan,Retail,0,57
57,ZFACVCVTV13512505,DLR9294,2022-11-13,55000.0,11723.5,43276.5,Loan,Rental,0,9
58,3C63VC0U857154386,DLR3166,2023-11-12,65500.0,12647.77,52852.23,Loan,Fleet,0,24
59,ZFARR4YWK66413376,DLR1116,2022-08-10,85000.0,3251.83,81748.17,Cash,Retail,0,21
60,3C6V9D41K94384972,DLR8901,2024-07-31,34900.0,5249.72,29650.28,Loan,Fleet,0,12
61,1C4DMHY7J08371270,DLR1639,2024-03-27,85000.0,12727.95,72272.05,Lease,Fleet,0,5
62,1C4CSPZT700602653,DLR7081,2024-03-29,68300.0,5916.37,62383.63,Loan,Fleet,1,8
63,1B3EB9X2S85733168,DLR6935,2023-01-01,48800.0,4898.39,43901.61,Cash,Rental,0,11
64,2C3WAJ3L864332468,DLR9099,2023-10-05,24000.0,1586.62,22413.38,Lease,Retail,1,77
65,2C3KGUHH514044532,DLR4013,2023-01-25,68500.0,3742.6,64757.4,Cash,Retail,0,15
66,1B3Y64CFL75216695,DLR1533,2023-02-08,30000.0,338.9,29661.1,Loan,Retail,1,25
67,1C4XHSD8S23697713,DLR1852,2022-09-13,48000.0,1275.41,46724.59,Loan,Retail,1,46
68,ZFACVCVTV13512505,DLR7618,2023-08-29,55000.0,1548.31,53451.69,Loan,Retail,1,50
69,2C3G25NTJ19992884,DLR3166,2023-09-09,40700.0,3500.98,37199.02,Loan,Fleet,0,2
70,1B3398CSK83502536,DLR7099,2023-10-22,45500.0,4053.89,41446.11,Loan,Retail,1,49
71,2C3VPTU7711218689,DLR3924,2022-12-14,82000.0,6486.53,75513.47,Loan,Retail,0,19
72,ZARR9C81D02218049,DLR6172,2023-11-18,60600.0,5454.78,55145.22,Lease,Retail,1,40
73,ZAR59UPKV57165036,DLR3650,2023-04-06,45200.0,2992.93,42207.07,Cash,Retail,0,16
74,1C3LSM6K848470920,DLR7906,2022-05-30,52200.0,6129.63,46070.37,Loan,Fleet,0,3
75,1C3CW4VLC63646308,DLR2124,2024-10-09,84600.0,7585.89,77014.11,Loan,Retail,0,62
76,3C6V9D41K94384972,DLR2856,2024-11-26,34900.0,3519.29,31380.71,Loan,Retail,0,63
77,1C6TXFXAK71747066,DLR3095,2024-08-09,46700.0,2031.4,44668.6,Lease,Retail,0,48
78,1C6DCR1NE09564894,DLR1448,2024-10-30,85000.0,5582.87,79417.13,Lease,Retail,1,32
79,ZAR2XWBD401412726,DLR3979,2024-08-30,40500.0,892.94,39607.06,Lease,Retail,1,16
80,1C4FV4PAZ12128062,DLR3996,2024-09-19,61600.0,4412.67,57187.33,Cash,Retail,1,46
81,1B3EB9X2S85733168,DLR9783,2023-11-19,48800.0,2159.73,46640.27,Loan,Retail,1,94
82,1B3VH2B1083689405,DLR5170,2024-02-24,47300.0,1040.7,46259.3,Cash,Retail,1,8
83,ZFAMBHRVX46717238,DLR2972,2024-08-12,52400.0,4499.84,47900.16,Loan,Retail,0,101
84,1C4V0E5T554410948,DLR7099,2022-02-10,45000.0,4386.38,40613.62,Loan,Fleet,1,1
85,1C3B6LH1780832460,DLR4190,2023-09-04,35100.0,3306.36,31793.64,Lease,Fleet,0,9
86,1C3FEGGBM25372289,DLR2972,2023-03-28,88000.0,2026.49,85973.51,Loan,Retail,1,134
87,2C3JJVJW632950016,DLR7618,2022-12-05,56000.0,6168.83,49831.17,Loan,Fleet,0,32
88,1B3LRXLWV33402274,DLR1533,2022-02-25,29000.0,2229.66,26770.34,Lease,Retail,1,2
89,ZFADZK0Y683513963,DLR5098,2022-10-05,30300.0,4989.54,25310.46,Loan,Fleet,0,7
90,ZAR72KZ1264120703,DLR3381,2023-03-10,40700.0,2154.74,38545.26,Lease,Retail,1,23
91,1B3ASLX3M18801711,DLR6570,2023-06-01,44700.0,2328.27,42371.73,Lease,Retail,1,6
92,1C6TXFXAK71747066,DLR9099,2023-04-05,46700.0,6559.87,40140.13,Loan,Fleet,0,32
93,3C6VZMTLT32258551,DLR1116,2023-02-13,34000.0,2561.79,31438.21,Loan,Retail,0,33
94,ZAR1WCR7P45307074,DLR3641,2023-03-23,42000.0,668.93,41331.07,Loan,Retail,0,28
95,1C4H5E08P02819855,DLR3641,2022-12-02,93800.0,18533.79,75266.21,Loan,Rental,1,11
96,1B3YMYB9Z37940255,DLR3650,2024-02-08,35200.0,1618.49,33581.51,Cash,Retail,0,32
97,1B35GBBBM13439624,DLR1116,2022-07-28,45400.0,3733.86,41666.14,Lease,Retail,0,5
98,1C4A2YJ1V40089585,DLR4885,2022-03-26,62400.0,3925.66,58474.34,Loan,Retail,0,75
99,2C39Y8TZL13456478,DLR7296,2022-01-26,89400.0,7112.38,82287.62,Loan,Fleet,0,21
100,1B3L18ZG125759823,DLR6785,2022-11-10,84400.0,7527.8,76872.2,Lease,Retail,0,52
101,ZARZBNP3Z90728842,DLR9783,2024-09-17,36700.0,4389.11,32310.89,Loan,Fleet,0,4
102,ZFAV3F2SZ68074201,DLR1116,2022-06-27,26000.0,598.07,25401.93,Lease,Retail,0,60
103,3C6VZMTLT32258551,DLR7474,2023-11-20,34000.0,3545.9,30454.1,Lease,Retail,1,20
104,ZFAX40R1828544728,DLR9680,2023-12-28,63200.0,7081.95,56118.05,Loan,Fleet,0,18
105,1C4NBBJ2961072534,DLR7511,2022-01-21,28300.0,1090.04,27209.96,Loan,Retail,1,21
106,1C4KYLCD975626268,DLR6924,2023-05-08,34100.0,974.96,33125.04,Loan,Retail,0,18
107,1B3LRXLWV33402274,DLR5600,2023-05-14,29000.0,499.64,28500.36,Loan,Retail,0,29
108,1C3CW4VLC63646308,DLR3101,2023-12-06,84600.0,4251.16,80348.84,Lease,Retail,1,83
109,1C4SNE75V97434720,DLR6785,2023-07-09,44200.0,1155.18,43044.82,Lease,Retail,1,31
110,ZARCC79FL57663492,DLR1533,2024-09-18,46200.0,3482.33,42717.67,Loan,Retail,0,8
111,ZFARD56AE63892733,DLR5422,2023-08-03,62300.0,8603.97,53696.03,Loan,Fleet,0,34
112,1C3LSM6K848470920,DLR3262,2022-01-29,52200.0,2618.38,49581.62,Cash,Retail,1,15
113,ZFA7D9F8J14736535,DLR5157,2022-09-16,34300.0,1049.33,33250.67,Loan,Retail,1,5
114,1B3JFPNRW55984097,DLR8904,2024-08-19,46900.0,1975.49,44924.51,Lease,Retail,1,11
115,1C3ZSK95D33260830,DLR5408,2022-08-22,67100.0,4898.03,62201.97,Cash,Retail,0,38
116,2C3UV9SN845568682,DLR5480,2022-11-07,88000.0,4859.81,83140.19,Loan,Retail,1,23
117,ZFADZK0Y683513963,DLR1116,2022-08-31,30300.0,1514.96,28785.04,Loan,Retail,0,180
118,2C3X84Z1M02637704,DLR3996,2024-02-19,63300.0,2912.76,60387.24,Lease,Retail,0,28
119,1B3YMYB9Z37940255,DLR3650,2022-05-04,35200.0,1860.31,33339.69,Lease,Retail,1,16
120,1B3LRXLWV33402274,DLR9680,2023-06-26,29000.0,2077.6,26922.4,Loan,Retail,1,24
121,1C449E4NX65280094,DLR3717,2024-04-16,32000.0,1414.27,30585.73,Loan,Retail,1,77
122,ZARF8MDD468759358,DLR8904,2023-04-24,63900.0,7938.92,55961.08,Loan,Rental,0,3
123,ZAR1WCR7P45307074,DLR8901,2023-04-06,42000.0,591.3,41408.7,Lease,Retail,0,50
124,3C62VUPYJ17435224,DLR6653,2023-09-22,42000.0,2071.53,39928.47,Lease,Retail,0,178
125,1C6ML91RY43758636,DLR1448,2022-09-12,85000.0,7263.68,77736.32,Loan,Retail,1,1
126,ZAR72KZ1264120703,DLR2972,2024-10-08,40700.0,3734.93,36965.07,Loan,Retail,0,59
127,1B3EB9X2S85733168,DLR3381,2023-04-14,48800.0,8503.85,40296.15,Loan,Rental,0,22
128,ZFARZE9T119802920,DLR8921,2023-07-06,42000.0,6325.08,35674.92,Loan,Fleet,0,26
129,1B3SC60T686617199,DLR1448,2024-06-11,85000.0,1783.52,83216.48,Loan,Retail,1,8
130,1B35GBBBM13439624,DLR9099,2024-04-16,45400.0,3100.89,42299.11,Lease,Retail,1,2
131,1B3YMYB9Z37940255,DLR6833,2023-08-14,35200.0,1816.88,33383.12,Lease,Retail,1,5
132,ZFARH8E2D14313744,DLR5600,2023-10-07,67100.0,6066.94,61033.06,Loan,Retail,0,4
133,1B31AVW0K12525937,DLR7081,2022-01-03,73600.0,3570.36,70029.64,Loan,Retail,1,5
134,3C6U95A0Z52614498,DLR3776,2024-10-17,84300.0,4395.87,79904.13,Lease,Retail,1,16
135,2C3UV9SN845568682,DLR1137,2022-09-26,88000.0,5741.54,82258.46,Lease,Retail,1,3
136,ZFAMBHRVX46717238,DLR3389,2023-05-06,52400.0,3657.3,48742.7,Cash,Retail,1,57
137,2C3EKTCRP40226511,DLR6742,2022-08-21,84400.0,3669.89,80730.11,Lease,Retail,0,33
138,1B3ASLX3M18801711,DLR5157,2024-11-08,44700.0,3850.41,40849.59,Loan,Retail,0,39
139,1C3D05Y2024234404,DLR3924,2023-05-15,82500.0,3505.9,78994.1,Loan,Retail,0,17
140,ZAR25M2JA78568443,DLR3949,2022-05-23,35800.0,4908.92,30891.08,Loan,Fleet,0,5
141,ZFAF0T7UY00896748,DLR9071,2023-07-02,48000.0,3184.95,44815.05,Loan,Retail,0,31
142,2C38A1VRW97961816,DLR4965,2022-11-01,49100.0,3829.68,45270.32,Loan,Retail,1,41
143,1C46T41PJ11828137,DLR2972,2024-02-12,28000.0,1264.93,26735.07,Loan,Retail,0,75
